0
Key.shift
'H'
'i'
'o'
'l'
Key.backspace
Key.backspace
Key.backspace
'o'
'l'
'a'
Key.space
'b'
'u'
'e'
'n'
'a'
's'
Key.space
't'
'a'
'r'
'd'
'e'
's'
Key.space
'c'
Key.backspace
Key.backspace
'.'
"','"
Key.space
Key.backspace
Key.backspace
Key.backspace
"','"
Key.space
Key.shift
'¿'
Key.shift
'C'
'p'
"','"
'p'
Key.space
Key.backspace
Key.backspace
Key.backspace
Key.backspace
'o'
'm'
'o'
Key.space
't'
'e'
Key.space
'l'
'l'
'a'
'm'
'a'
's'
Key.space
Key.backspace
Key.shift
'?'
Key.space
Key.backspace
Key.esc
